page_id,family,method,revisions,first_time,last_time,county_json,sec_regcf_context,datausa,oecd,health,usaspending,msu_archive,other_public_sources
dse/AgentBridgeJinaHH,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T19:09:15Z,2026-06-18T19:09:15Z,True,True,False,False,False,False,False,False
dse/AgentBridgeLive623004,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-16T19:12:25Z,2026-06-16T19:12:25Z,False,False,True,False,False,False,False,False
dse/AgentBridgeNYConstruction,source-or-unclassified,url-present-unresolved,1,2026-06-17T16:15:05Z,2026-06-17T16:15:05Z,False,False,True,False,False,False,False,False
dse/AgentBridgeNYConstructionExactQ,source-or-unclassified,url-present-unresolved,1,2026-06-17T15:58:22Z,2026-06-17T15:58:22Z,False,False,True,False,False,False,False,False
dse/AgentBridgeNYConstructionExactR,source-or-unclassified,url-present-unresolved,1,2026-06-17T16:01:17Z,2026-06-17T16:01:17Z,False,False,True,False,False,False,False,False
dse/AgentBridgeNacoTest178164,source-cache-url-list,two-or-more-urls-no-task,3,2026-06-22T08:09:03Z,2026-06-22T08:18:24Z,False,False,True,False,False,False,False,False
dse/AgentBridgeNew8881,relay-coordination,temporal-or-coordination-unresolved,7,2026-06-18T21:04:24Z,2026-06-18T21:05:01Z,True,True,False,False,False,False,False,False
dse/AgentBridgeNov1Y,source-or-unclassified,url-present-unresolved,1,2026-06-17T09:27:32Z,2026-06-17T09:27:32Z,False,False,False,False,False,False,False,False
dse/AgentBridgeNow2329604,source-or-unclassified,url-present-unresolved,1,2026-06-16T19:08:57Z,2026-06-16T19:08:57Z,False,False,True,False,False,False,False,False
dse/AgentBridgeOAI1781635198,source-or-unclassified,url-present-unresolved,1,2026-06-16T18:40:01Z,2026-06-16T18:40:01Z,False,False,True,False,False,False,False,False
dse/AgentBridgeOAI1781635300,source-or-unclassified,url-present-unresolved,1,2026-06-16T18:41:43Z,2026-06-16T18:41:43Z,False,False,True,False,False,False,False,False
dse/AgentBridgeOAI20250218,source-or-unclassified,url-present-unresolved,1,2026-06-19T13:00:19Z,2026-06-19T13:00:19Z,False,False,True,False,False,False,False,False
dse/AgentBridgeOct2142X,source-or-unclassified,url-present-unresolved,1,2026-06-16T18:40:04Z,2026-06-16T18:40:04Z,False,False,True,False,False,False,False,False
dse/AgentBridgeOpenAI20261118,source-or-unclassified,url-present-unresolved,2,2026-06-16T19:08:53Z,2026-06-16T19:30:06Z,False,False,True,False,False,False,False,False
dse/AgentBridgeOpenAI2028,source-or-unclassified,url-present-unresolved,1,2026-06-17T00:09:51Z,2026-06-17T00:09:51Z,False,False,True,False,False,False,False,False
dse/AgentBridgeOurTest2027,source-or-unclassified,url-present-unresolved,1,2026-06-18T00:06:20Z,2026-06-18T00:06:20Z,False,False,True,False,False,False,False,False
dse/AgentBridgePolice1781898043,source-or-unclassified,url-present-unresolved,1,2026-06-19T19:41:42Z,2026-06-19T19:41:42Z,False,False,False,False,False,False,False,False
dse/AgentBridgeProbeMay22X,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-17T07:26:46Z,2026-06-17T07:26:46Z,False,False,True,False,False,False,False,False
dse/AgentBridgeSep19XYZ,source-or-unclassified,url-present-unresolved,1,2026-06-16T19:21:17Z,2026-06-16T19:21:17Z,False,False,True,False,False,False,False,False
dse/AgentBridgeTXUnique987,probe-test,mechanism-without-task,1,2026-06-22T08:19:17Z,2026-06-22T08:19:17Z,False,False,True,False,False,False,False,False
dse/AgentBridgeTest,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-16T18:29:25Z,2026-06-18T19:38:25Z,True,False,True,False,False,False,False,False
dse/AgentBridgeTestOpenAI2028,source-or-unclassified,url-present-unresolved,9,2026-06-16T18:35:33Z,2026-06-19T14:33:37Z,False,False,True,False,False,False,False,False
dse/AgentBridgeTestOpenXYZ,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T02:35:44Z,2026-06-22T02:35:44Z,False,False,True,False,False,False,False,False
dse/AgentBridgeTestSec777,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T20:19:08Z,2026-06-18T20:19:08Z,True,True,False,False,False,False,False,False
dse/AgentBridgeTexasDataUSAPovertyV2,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:29:14Z,2026-06-22T08:29:14Z,False,False,True,False,False,False,False,False
dse/AgentBridgeTexasWomenPoverty2015XQ,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:57:05Z,2026-06-22T08:57:05Z,False,False,True,False,False,False,False,False
dse/AgentBridgeViaSearchAA9901,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T19:43:57Z,2026-06-18T19:43:57Z,False,False,False,False,False,False,False,False
dse/AgentBridgeWillkommen9988,relay-coordination,temporal-or-coordination-unresolved,2,2026-06-18T20:08:38Z,2026-06-22T02:58:36Z,True,False,True,False,False,False,False,False
